,Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,472.053499593,473.588077589,475.127644278,476.672215876,478.221808654,479.776438935,481.336123095,482.900877564,484.470718825,486.045663414,487.625727921,489.21092899,490.80128332,492.396807663,493.997518826,495.603433671,497.214569113,498.830942125,500.452569734,502.07946902,503.711657121,505.349151232,506.9919686,508.640126531,510.293642386,511.952533583,513.616817597,515.286511958,516.961634256,518.642202135,520.328233299,522.019745507,523.716756578,525.419284388,527.127346871,528.840962019,530.560147883,532.284922573,534.015304258,535.751311164,537.492961579,539.240273848,540.993266379,542.751957636,544.516366145,546.286510492,548.062409324,549.844081348,551.63154533,553.424820101,555.22392455,557.028877629,558.839698351,560.65640579,562.479019083,564.307557431,566.142040093,567.982486394,569.828915721,571.681347525,573.539801317,575.404296676,577.27485324,579.151490715,581.034228868,582.923087532,584.818086603,586.719246044,588.626585881,590.540126205,592.459887173,594.385889008,596.318151998,598.256696496,600.201542924,602.152711767,604.11022358,606.074098982,608.04435866,610.021023369,612.004113931,613.993651234,615.989656237,617.992149965,620.001153512,622.016688041,624.038774782,626.067435036,628.102690172,630.14456163,632.193070919,634.248239616,636.310089371,638.378641903,641.33326152,644.301556057,647.283588806,650.279423352,653.289123574,656.312753648,659.350378044,662.402061533,665.467869184,668.54786637,671.642118763,674.750692342,677.873653389,681.011068494,684.163004555,687.32952878,690.510708687,693.706612108,696.917307187,700.142862386,703.383346481,706.638828568,709.909378062,713.195064701,716.495958545,719.812129975,723.143649703,726.490588766,729.853018527,733.231010685,736.624637265,740.03397063,743.459083475,746.900048834,750.356940075,753.82983091,757.318795389,766.752197402,779.445314463,812.856279479,815.359521347,816.414838035,837.066935407,820.85302963,849.740069479,856.228843403,868.498222588,857.358654882,853.100709991,849.44471768,846.267281765,845.220661737,833.614056241,836.197138198,845.079978553,837.620774345,833.31592336,773.695137773,739.981105813,803.486536923,825.580031203,846.442402509,866.192480569,786.113359958,827.092154819,809.074114321,810.431624894,896.860746392,978.011438792,1013.13273629,994.571243991,961.924184798,1030.88806745,852.395944817,770.010794019,751.441273957,709.504941901,705.445798661,649.341395157,558.853241441,500.449447348,601.874209874,617.910635978,635.341351018,653.296853334,670.987220917,663.909877731,595.038741037,726.73405478,785.127571108,804.717457749,874.0,887.914577663,983.652313675,984.805841434,1154.85936487,1214.61365306,1261.35418449,1349.69694102
2,Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,601.215222389,601.83963103,602.464688169,603.090394478,603.716750631,604.343757304,604.971415172,605.599724911,606.228687199,606.858302712,607.488572131,608.119496133,608.751075398,609.383310608,610.016202443,610.649751585,611.283958717,611.918824522,612.554349685,613.19053489,613.827380822,615.133803708,616.443007083,617.754996865,619.069778986,620.387359388,621.707744026,623.030938869,624.356949897,625.685783106,627.017444501,628.351940101,629.689275939,631.029458059,632.37249252,633.718385391,635.067142758,636.418770715,637.773275374,639.130662855,640.490939296,641.854110844,643.220183661,644.589163922,645.961057816,647.335871542,648.713611317,650.094283366,651.477893931,652.864449267,654.25395564,655.646419331,657.041846635,658.440243858,659.841617322,661.245973362,662.653318325,664.063658572,665.477000479,666.893350434,668.312714839,669.735100109,671.160512675,672.588958979,674.020445479,675.454978643,676.892564958,678.33321092,679.776923042,681.22370785,682.673571883,692.73797783,702.95075962,713.314104705,723.830232783,734.501396278,745.329880821,756.318005737,767.468124547,778.782625466,790.26393192,801.914503063,813.7368343,825.733457827,837.906943174,850.259897747,862.794967396,875.514836977,888.422230928,901.519913851,914.810691106,927.352778873,940.066819117,952.955169315,966.020219261,979.264391517,992.690141854,1006.29995972,1020.09636867,1034.0819269,1048.25922764,1062.0059041,1075.93285191,1090.04243513,1104.3370488,1118.81911938,1133.49110513,1148.35549657,1163.41481688,1178.67162231,1194.12850264,1209.42357935,1224.9145641,1240.60396618,1250.98427633,1261.45144001,1272.00618394,1282.64924092,1293.38134987,1304.20325591,1315.11571037,1326.1194709,1337.21530146,1348.40397241,1359.68626057,1371.06294924,1382.53482829,1394.10269418,1405.76735005,1417.52960577,1422.79701443,1428.08399629,1433.39062409,1438.71697082,1444.06310977,1449.42911447,1454.81505875,1460.2210167,1465.64706269,1471.09327136,1476.55971764,1482.04647672,1487.5536241,1493.08123552,1498.62938704,1504.19815497,1509.78761593,1515.39784681,1521.02892478,1526.68092732,1532.35393218,1598.4927497,1601.05613633,1665.7947367,1714.68877618,1807.13058686,1825.30248741,1942.28424417,2029.78958534,2113.34660578,2220.34269648,2238.7874367,2312.88895774,2391.77961601,2473.69710013,2563.94557352,2660.07483654,2760.19693055,2859.81201277,2956.93736008,3066.02293349,3188.57728074,3313.4221881,3478.4591693,3491.42659688,3503.59174172,3517.61562702,3533.00391005,3549.26494664,3566.56881033,3591.75560334,3611.02554005,3630.88072219,3652.0761736,3672.86753872,3692.08963082,3715.54970573,3738.93273536,3762.60654447,3790.98170101,3824.84799475,2717.56828979,2497.4379009,2716.6461928,2918.81669781,3285.53473487,3569.59450622,3193.05460354,3584.77319667,3928.27513772,4195.21036764,4476.04516604,4604.21173734,4855.21002369,5115.25283737,5369.0,5652.04932138,5958.02119673,6365.53035936,6550.89616351,6746.44531227,6914.26731653,6969.30628256
4,Algeria,766.253664379,766.234779457,766.215895,766.197011009,766.178127483,766.159244423,766.140361828,766.121479699,766.102598034,766.083716835,766.064836102,766.045955834,766.027076031,766.008196693,765.989317821,765.970439414,765.951561472,765.932683996,765.913806985,765.894930439,765.876054358,773.695864768,781.595517646,789.575828207,797.637619988,805.781724936,814.008983492,822.320244676,830.71636618,839.198214451,847.766664785,856.422601411,865.16691759,874.000515703,882.924307342,891.93921341,901.04616421,910.246099545,919.539968812,928.928731105,938.413355308,947.994820197,957.674114544,967.452237214,977.330197274,987.30901409,997.389717439,1007.57334761,1017.86095552,1028.2536028,1038.75236194,1049.35831637,1060.07256059,1070.89620026,1081.83035234,1092.8761452,1104.03471871,1115.30722441,1126.69482557,1138.19869735,1149.82002689,1161.56001349,1173.41986867,1185.4008163,1197.50409279,1209.73094715,1222.08264113,1234.5604494,1247.1656596,1259.89957255,1272.76350234,1287.25206597,1301.90556086,1316.7258645,1331.71487576,1346.87451515,1362.20672501,1377.71346981,1393.39673637,1409.25853414,1425.30089544,1441.52587571,1457.93555382,1474.53203228,1491.31743753,1508.29392024,1525.46365555,1542.82884335,1560.39170859,1578.15450154,1596.11949808,1614.28900002,1632.66533534,1651.25085854,1670.04795093,1689.0590209,1708.2865043,1727.73286466,1747.40059359,1767.29221104,1787.41026566,1807.75733511,1828.33602639,1849.14897618,1870.19885116,1891.4883484,1913.02019563,1934.79715167,1956.82200672,1979.09758275,2001.62673386,2024.41234662,2047.45734049,2070.76466814,2079.71902457,2088.71210124,2097.74406558,2106.81508575,2115.92533063,2125.07496983,2134.26417372,2143.49311336,2152.76196058,2162.07088796,2171.4200688,2180.80967717,2190.23988788,2199.71087652,2209.22281939,2218.77589361,2228.37027703,2238.00614828,2247.68368675,2257.40307263,2267.16448688,2276.96811122,2286.81412818,2296.70272109,2306.63407403,2316.60837192,2326.62580046,2336.68654614,2346.79079629,2356.93873902,2367.13056327,2377.36645879,2387.64661615,2397.97122675,2408.3404828,2418.75457738,2429.21370436,2397.53111123,2449.00818535,2436.33995025,2557.81850728,2572.47444341,2764.42362881,3013.97602291,3059.57686539,3548.41602233,3716.78867942,3202.9626197,2550.81687983,3146.57863037,3214.43660871,3327.99122041,3070.75339207,3246.99177121,3519.79411607,3747.74452762,4003.57359004,3559.3499088,4182.66376569,4194.60334945,4320.95930753,4489.03498567,4642.62341063,4910.41675649,5373.16628827,5682.03370829,5610.19630482,5573.37959078,5745.16021294,5853.65621823,5986.54203778,6107.18101311,5876.04809516,5681.35853922,5415.98626395,5457.74556879,5244.50961212,5061.30346391,5023.21664742,4800.31711651,4652.84115321,4732.43300026,4824.21247528,4797.29505081,4965.22836091,5048.61556565,5098.85356434,5156.447405,5288.04038183,5576.8515641,5790.96769241,6011.0,6022.27094037,6133.78276274,6162.71983982,6173.7297411,6300.64821361,6354.64052282,6419.12782939
5,American Samoa,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,674.453726335,676.643975936,678.841338247,681.045836364,683.257493463,685.47633279,687.70237767,689.935651503,692.176177763,694.423980004,696.679081853,698.941507015,701.211279272,703.488422484,705.772960587,708.064917596,710.364317604,712.67118478,714.985543374,717.307417715,719.636832209,721.973811342,724.31837968,726.670561868,729.030382633,731.39786678,733.773039195,736.155924845,738.546548779,740.944936127,743.351112099,745.765101989,748.186931172,750.616625106,753.054209331,755.49970947,757.95315123,760.4145604,762.883962855,765.361384552,767.846851533,770.340389925,772.84202594,775.351785872,777.869696106,780.395783108,782.930073432,785.472593718,788.023370692,790.582431167,793.149802043,795.725510308,798.309583038,800.902047394,803.50293063,806.112260083,808.730063184,811.356367449,813.991200486,816.634589992,819.286563752,821.947149645,824.616375636,827.294269786,829.980860242,832.676175246,835.38024313,838.093092318,840.814751328,843.545248769,846.284613343,849.032873845,851.790059165,854.556198285,857.331320283,860.115454329,862.908629691,865.710875728,868.522221897,871.342697752,874.172332939,877.011157203,879.859200386,882.716492424,885.583063354,888.458943307,891.344162515,894.238751306,897.142740108,900.056159445,902.979039944,905.911412329,908.853307424,911.804756154,951.80659501,993.563356837,1037.15203196,1082.65298836,1130.15011983,1179.73100068,1231.48704721,1285.51368622,1341.91053103,1400.78156505,1462.23533359,1526.38514394,1593.3492743,1663.25119188,1736.2197805,1812.38957827,1891.90102561,1974.90072422,2061.54170739,2151.9837221,2246.39352364,2344.94518301,2447.82040789,2555.20887767,2667.30859318,2784.32624176,2906.47757832,3033.98782318,3167.09207732,3306.03575585,3451.07504048,3602.47735191,3760.52184283,3925.49991271,4097.71574496,4277.48686789,4465.14474009,4531.98769573,4599.83128652,4668.69049189,4738.58051553,4809.51678875,4881.51497382,4954.59096752,5028.76090457,5104.04116124,5180.44835895,5257.99936794,5336.711311,5416.60156724,5497.68777595,5579.98784046,5663.51993213,5748.30249432,5834.35424651,5921.6941884,6010.34160411,6100.31606645,6191.63744123,6284.32589165,6296.66080876,6309.01993693,6321.40332368,6333.81101662,6346.24306347,6358.69951202,6371.18041018,6383.68580592,6396.21574734,6408.77028261,6421.34946001,6433.9533279,6446.58193475,6459.23532911,6471.91355965,6484.61667509,6497.3447243,6604.36415361,6713.14632734,6823.72028013,6936.11552482,7050.36206038,7166.49037989,7284.53147869,7404.51686267,7526.47855665,7650.44911293,7776.46162,8200.79027303,8648.27274775,9120.17245039,9617.8217259,11295.5587703,13265.9610012,,,,,
6,Andorra,1260.12325621,1262.21440176,1264.30901752,1266.40710924,1268.5086827,1270.61374367,1272.72229795,1274.83435132,1276.94990959,1279.06897859,1281.19156413,1283.31767205,1285.4473082,1287.58047843,1289.71718861,1291.85744461,1294.00125232,1296.14861762,1298.29954643,1300.45404466,1302.61211822,1317.90369891,1333.37479001,1349.02749883,1364.86395741,1380.88632281,1397.09677743,1413.49752928,1430.09081228,1446.8788866,1463.86403892,1481.04858278,1498.43485885,1516.02523532,1533.82210815,1551.82790143,1570.04506773,1588.47608837,1607.12347383,1625.98976406,1645.07752881,1664.38936802,1683.92791212,1703.69582245,1723.69579157,1743.93054366,1764.40283487,1785.11545373,1806.07122146,1827.27299245,1848.72365456,1870.42612956,1892.38337354,1914.59837726,1937.07416661,1959.81380299,1982.82038376,2006.09704261,2029.64695004,2053.47331375,2077.57937912,2101.96842961,2126.64378722,2151.60881297,2176.86690731,2202.42151063,2228.2761037,2254.43420814,2280.89938693,2307.67524487,2334.76542906,2362.17362944,2389.90357924,2417.95905555,2446.34387977,2475.06191817,2504.11708241,2533.51333006,2563.25466516,2593.34513875,2623.78884943,2654.58994389,2685.75261753,2717.281115,2749.17973074,2781.45280965,2814.10474762,2847.13999212,2880.56304286,2914.37845236,2948.59082659,2983.20482558,3018.22516408,3053.65661216,3089.50399591,3125.77219807,3162.4661587,3199.59087585,3237.15140624,3275.15286596,3313.60043114,3352.49933869,3391.854887,3431.67243665,3471.95741115,3512.71529768,3553.95164783,3595.67207836,3637.88227198,3680.58797809,3723.79501361,3767.50926371,3811.73668268,3856.48329468,4003.17974703,4155.45637372,4313.52543855,4477.60727959,4647.93061636,4824.73286859,5008.26048721,5198.7692979,5396.52485764,5601.80282493,5814.88934402,6036.08144376,6265.68745168,6504.02742373,6751.43359047,7008.25082013,7274.83709937,7551.56403227,7838.81735831,8136.9974901,8446.52007152,8767.81655707,9101.33481334,9447.53974325,9806.91393415,10179.9583305,10567.1929321,10969.157519,11386.4124039,11819.5392132,12269.1416978,12735.8465744,13220.3043997,13723.1904765,14245.2057956,14787.0780128,15349.5624628,15933.4432128,16539.5341548,17168.6801406,17821.758159,18499.6785587,19203.386317,19933.862357,20692.1249154,21479.2309612,22296.2776694,23144.4039505,24024.7920377,24938.6691353,25887.309129,26872.0343618,27894.2174771,28955.2833322,30056.7109846,31200.0357532,32386.8513592,32191.4346903,33080.0082288,33951.7892792,34247.0908849,33016.1723053,32840.7941726,32632.6351789,32006.043144,30833.014406,30183.8586044,28684.5751426,27523.3572206,26568.2020786,25820.2986377,25465.8049207,25621.5372795,26576.0008008,27517.7136073,28281.893393,28511.1832634,28091.1224777,27041.0171246,25514.0385203,25092.4327023,25063.7690552,25839.0650587,28057.4713622,28982.1382161,30144.9716557,30265.9410535,33293.0005274,34485.4835229,35925.2782828,37427.6063161,39002.4098291,39924.8371761,39244.4060892,37046.5027017,34710.2140126,33052.2823183,31630.7428447,
7,Angola,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,359.932581855,361.620339622,363.316011445,365.019634432,366.731245868,368.450883211,370.178584096,371.914386332,373.658327909,375.410446992,377.170781927,378.939371238,380.71625363,382.501467991,384.295053391,386.097049082,387.907494499,389.726429266,391.55389319,393.389926263,395.234568669,397.087860777,398.949843146,400.820556525,402.700041856,404.58834027,406.485493094,408.391541845,410.306528239,412.230494184,414.163481787,416.10553335,418.056691377,420.016998567,421.986497822,423.965232244,425.953245138,427.950580012,429.957280578,431.973390751,433.998954655,436.034016618,438.078621179,440.132813083,442.196637286,444.270138956,446.35336347,448.446356419,450.54916361,452.661831062,454.78440501,456.916931908,459.059458424,461.21203145,463.374698093,465.547505683,467.730501773,469.923734138,472.127250775,474.341099909,476.56532999,478.799989696,481.045127931,483.300793831,485.567036761,487.843906317,490.131452329,492.429724859,494.738774206,497.058650903,499.38940572,501.731089666,504.083753988,506.447450175,508.822229956,511.208145302,513.605248431,516.013591802,518.433228121,520.864210343,523.30659167,525.760425553,528.225765694,530.702666047,533.191180818,535.69136447,538.203271719,540.726957537,543.262477156,545.809886064,548.369240013,550.940595014,553.52400734,556.119533531,583.836757925,612.93542009,643.484371447,675.555895,709.225876369,744.573983344,781.683854389,820.643296544,861.544493188,904.484222157,949.564084732,996.890746047,1046.57618747,1098.73797155,1153.49952024,1210.99040684,1271.34666269,1334.71109894,1401.23364455,1471.07170096,1544.3905146,1621.36356781,1702.17298939,1787.00998551,1876.07529211,1969.57964993,2067.74430309,2170.80152259,2278.99515596,2392.58120415,2511.82842731,2637.01898071,2768.44908236,2906.42971389,3051.28735637,3203.36476285,3363.0217693,3440.9013899,3520.61027256,3598.8055439,3450.82022791,3672.08157291,3549.03534337,3827.94046481,3966.41504371,3917.76117408,4006.20630241,4463.82592323,4269.27674188,4413.59639931,4826.48811302,5102.21021357,5308.13618095,5522.77637459,5346.62749933,5408.11939639,5651.88286703,5526.21139598,5473.28800494,5722.02372629,5470.21203792,3430.84872189,3050.31582558,3008.64735493,3070.81648994,3064.88794035,3074.74554268,2953.40672591,2756.95367186,2584.5570455,2527.46791402,2492.83213225,2220.6053324,2430.20831133,2728.52990179,2730.55888427,2777.41763055,2730.85423767,2627.84568499,1869.92375309,1851.44626956,1989.02468149,2157.35209724,2277.14088401,2384.47925852,2417.18102137,2446.64587312,2479.69022868,2773.28731174,2785.39395694,3007.11459525,3533.0,4148.00245048,4950.17855339,5488.45774781,5475.94589392,5497.61810333,5546.64657203,5838.15537583
8,Anguilla,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,775.668710589,780.794194375,785.953546465,791.146990656,796.374752222,801.637057926,806.93413603,812.266216303,817.633530035,823.036310041,828.474790677,833.949207846,839.459799011,845.006803202,850.590461032,856.2110147,861.868708008,867.563786369,873.296496815,879.067088014,884.875810276,890.722915562,896.608657502,902.5332914,908.497074248,914.500264734,920.543123257,926.625911938,932.748894627,938.912336919,945.116506165,951.361671481,957.648103763,963.976075694,970.345861762,976.757738267,983.211983336,989.708876933,996.248700871,1002.83173883,1009.45827635,1016.12860088,1022.84300176,1029.60177022,1036.40519945,1043.25358456,1050.1472226,1057.08641261,1064.07145557,1071.10265448,1078.18031433,1085.30474212,1092.47624689,1099.69513972,1106.96173373,1114.27634413,1121.6392882,1129.05088533,1136.511457,1144.02132682,1151.58082056,1159.19026612,1166.84999357,1174.56033517,1182.32162535,1190.1342008,1197.99840038,1205.91456522,1213.88303871,1221.90416647,1229.97829646,1238.10577889,1246.2869663,1254.52221358,1262.81187794,1271.15631896,1279.55589859,1288.01098118,1296.52193349,1305.08912468,1313.71292639,1322.39371267,1331.13186008,1339.92774764,1348.7817569,1357.69427191,1366.66567927,1375.69636812,1384.7867302,1393.9371598,1403.14805385,1412.41981189,1421.75283609,1431.14753128,1466.22275843,1502.1576255,1538.97320096,1576.6910696,1615.33334525,1654.92268371,1695.48229603,1737.03596213,1779.60804475,1823.2235037,1867.90791053,1913.68746353,1960.58900303,2008.6400272,2057.86870815,2108.30390843,2159.97519799,2212.91287146,2267.14796597,2322.71227932,2379.63838862,2437.9596694,2497.71031517,2558.92535746,2621.64068638,2685.89307166,2751.72018418,2819.16061809,2888.25391343,2959.04057927,3031.56211753,3105.86104728,3181.98092964,3259.96639336,3339.86316098,3421.71807562,3505.57912845,3591.49548684,3679.51752317,3769.69684438,3862.08632219,3956.74012416,4053.71374538,4153.06404107,4254.84925986,4359.12907798,4465.96463422,4575.4185658,4687.55504508,4802.43981717,4920.14023852,5040.72531636,5164.26574919,5290.83396821,5420.50417982,5553.35240909,5689.45654435,5475.31785836,6031.55382095,6214.20607418,6148.68470165,6318.47807782,6393.50692529,6391.27642386,6858.38516528,7507.02869243,7866.61868296,8151.64195084,8050.1789743,8015.96617909,8263.64711969,8975.70578845,9911.09364904,10604.3480759,11605.7441832,12220.7691108,12335.0144597,11709.2870867,12197.8264963,12770.8347596,13477.4158858,12888.0937699,12957.806543,14096.1282676,15298.7688253,15611.9461379,15551.725642,15678.6720726,15179.2600488,15300.1115359,18278.8211793,19478.9009652,22716.0548036,25037.5469899,24145.3738228,19309.746902,18220.4782484,18600.5836746,
9,Antigua and Barbuda,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,541.933695208,545.514698709,549.119364857,552.747850011,556.400311564,560.076907947,563.777798638,567.503144171,571.253106138,575.027847201,578.827531096,582.65232264,586.502387741,590.377893402,594.27900773,598.205899941,602.158740373,606.137700486,610.142952875,614.174671274,618.233030566,622.31820679,626.430377148,630.56972001,634.73641493,638.930642645,643.152585085,647.402425387,651.680347893,655.986538166,660.321182995,664.684470402,669.076589653,673.497731263,677.948087007,682.427849926,686.937214339,691.476375848,696.045531345,700.644879026,705.274618395,709.934950276,714.626076819,719.34820151,724.101529178,728.886266008,733.702619545,738.550798708,743.431013795,748.343476494,753.288399891,758.26599848,763.276488175,768.320086313,773.397011669,778.507484464,783.651726374,788.829960538,794.042411572,799.289305575,804.57087014,809.887334365,815.238928859,820.625885757,826.048438729,831.506822987,837.001275298,842.532033993,848.099338978,853.703431745,859.344555382,865.022954581,870.738875654,876.492566538,882.284276809,888.114257694,893.982762077,899.890044515,905.836361247,911.821970205,917.847131025,923.912105058,930.017155384,936.162546819,942.348545931,948.575421048,954.843442271,961.152881488,967.50401238,973.897110439,980.332452977,986.810319139,993.330989912,1017.6760063,1042.61768163,1068.17063911,1094.34986032,1121.17069401,1148.64886513,1176.80048401,1205.64205581,1235.19049022,1265.46311136,1296.47766794,1328.25234364,1360.80576783,1394.15702643,1428.32567314,1463.33174087,1499.19575355,1535.93873807,1573.58223669,1612.14831963,1651.65959801,1692.13923711,1733.61096997,1776.09911129,1819.62857167,1864.22487224,1909.91415963,1956.72322125,2004.67950105,2053.81111559,2104.14687051,2155.71627745,2208.54957132,2262.67772806,2318.13248274,2374.94634827,2433.15263435,2492.78546707,2553.8798089,2616.47147918,2680.59717513,2746.29449336,2813.60195193,2882.5590129,2953.20610548,3025.58464975,3099.73708095,3175.7068743,3253.53857056,3333.27780212,3414.97131973,3498.66701995,3584.41397318,3672.26245249,3762.26396306,3854.47127237,3948.93844117,4138.46959451,4333.74453294,4597.83004501,4676.11480475,4382.06644611,3991.80498785,4319.59397107,4535.03599612,5105.69039195,5532.03143514,5882.22466026,5973.22056719,6453.08807924,7024.11140745,7693.92384821,8513.74369757,9474.13768888,10425.2268978,11211.4388646,11573.5614367,11751.6022621,11677.3536134,12036.9814111,12477.5486886,11650.3560908,12104.5205108,12387.2807221,12613.1599338,12826.3098533,12738.7446306,12770.7392518,12874.342595,13346.2816402,14114.0915017,14579.0,16223.3891232,17161.6862603,17226.5807026,15219.4999772,13921.5162202,13508.8026074,13722.9861633
